City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,16.14,59,44,3.53,AU,1713667057
1,fortuna,40.5982,-124.1573,13.85,91,100,6.17,US,1713667057
2,king,47.4665,-121.8179,5.78,91,100,0.89,US,1713667057
3,grytviken,-54.2811,-36.5092,5.05,92,100,5.04,GS,1713667023
4,horsham,51.064,-0.3272,7.14,76,75,2.57,GB,1713667058
5,drabiv,49.963,32.1529,9.58,85,100,7.09,UA,1713667058
6,adamstown,-25.066,-130.1015,22.73,77,1,12.2,PN,1713667059
7,san patricio,28.017,-97.5169,25.92,75,100,2.35,US,1713667059
8,port elizabeth,-33.918,25.5701,19.62,95,100,3.6,ZA,1713667059
9,ribeira grande,38.5167,-28.7,16.54,94,20,1.34,PT,1713667059
10,klyuchi,52.2667,79.1667,10.73,38,7,2.49,RU,1713667060
11,bilibino,68.0546,166.4372,-8.81,77,70,0.81,RU,1713667060
12,sao miguel do araguaia,-13.275,-50.1628,23.86,88,72,1.29,BR,1713667060
13,port mathurin,-19.6833,63.4167,26.58,80,43,7.9,MU,1713667060
14,tame,6.461,-71.73,24.83,73,99,1.94,CO,1713667061
15,bredasdorp,-34.5322,20.0403,16.54,92,100,3.03,ZA,1713667061
16,blackmans bay,-43.0167,147.3167,18.18,55,1,0.89,AU,1713667061
17,isafjordur,66.0755,-23.124,2.45,89,90,9.06,IS,1713667062
18,utrik,11.2278,169.8474,27.33,82,100,7.84,MH,1713667062
19,abengourou,6.7297,-3.4964,23.67,98,66,1.69,CI,1713667062
20,kone,-21.0595,164.8658,28.96,70,90,2.34,NC,1713667063
21,olonkinbyen,70.9221,-8.7187,2.15,98,100,11.94,SJ,1713667063
22,cill airne,52.05,-9.5167,7.1,94,20,1.03,IE,1713667063
23,stanley,54.868,-1.6985,5.16,85,75,1.54,GB,1713667063
24,swakopmund,-22.6833,14.5333,11.47,75,8,1.83,NA,1713667063
25,goz beida,13.95,20.55,28.05,15,61,2.03,TD,1713667064
26,vadso,70.0744,29.7487,-3.51,74,100,6.17,NO,1713667064
27,helena valley west central,46.6629,-112.0604,10.49,30,0,5.66,US,1713667064
28,puerto ayora,-0.7393,-90.3518,24.75,99,57,1.68,EC,1713667065
29,ilulissat,69.2167,-51.1,-4.99,54,100,2.57,GL,1713667065
30,pisco,-13.7,-76.2167,21.03,83,0,2.57,PE,1713667065
31,enewetak,11.3474,162.3373,27.87,75,72,6.79,MH,1713667065
32,bikenibeu village,1.3673,173.1241,30.98,74,40,3.09,KI,1713667066
33,waitangi,-43.9535,-176.5597,14.9,92,100,1.34,NZ,1713667066
34,polyarnyy,69.1989,33.4478,-5.77,71,100,6.08,RU,1713667066
35,invercargill,-46.4,168.35,13.34,81,89,4.02,NZ,1713667066
36,bethel,41.3712,-73.414,9.41,58,0,4.12,US,1713667067
37,smithville,39.3869,-94.5811,9.88,57,100,1.54,US,1713667067
38,sandnessjoen,66.0217,12.6316,-4.71,73,7,2.45,NO,1713667067
39,waingapu,-9.6567,120.2641,28.22,83,86,6.28,ID,1713667067
40,upington,-28.4478,21.2561,21.21,30,0,3.6,ZA,1713666914
41,praia da vitoria,38.7333,-27.0667,18.14,88,20,5.45,PT,1713666953
42,belyy yar,53.6039,91.3903,5.94,45,0,1.0,RU,1713667068
43,mazagao,-0.115,-51.2894,26.03,98,100,1.34,BR,1713667068
44,bandon,51.7469,-8.7425,6.77,92,58,0.46,IE,1713667069
